city,cases,case-rate,deaths,death-rate,date
City of Agoura Hills,276,1322,6,29,11/26/20
City of Alhambra,1814,2092,34,39,11/26/20
City of Arcadia,752,1302,45,78,11/26/20
City of Artesia,541,3221,13,77,11/26/20
City of Avalon,5,129,0,0,11/26/20
City of Azusa,2127,4251,28,56,11/26/20
City of Baldwin Park,4239,5522,109,142,11/26/20
City of Bell,2132,5868,46,127,11/26/20
City of Bell Gardens,2735,6350,28,65,11/26/20
City of Bellflower,3250,4181,66,85,11/26/20
City of Beverly Hills,948,2746,11,32,11/26/20
City of Bradbury,22,2058,0,0,11/26/20
City of Burbank,2605,2430,90,84,11/26/20
City of Calabasas,407,1673,14,58,11/26/20
City of Carson,2577,2746,64,68,11/26/20
City of Cerritos,800,1598,17,34,11/26/20
City of Claremont,648,1776,10,27,11/26/20
City of Commerce*,830,6351,13,99,11/26/20
City of Compton,5478,5483,82,82,11/26/20
City of Covina,1958,3993,61,124,11/26/20
City of Cudahy,1526,6268,19,78,11/26/20
City of Culver City,609,1528,30,75,11/26/20
City of Diamond Bar,874,1520,16,28,11/26/20
City of Downey,5858,5127,97,85,11/26/20
City of Duarte,756,3434,35,159,11/26/20
City of El Monte,6028,5140,182,155,11/26/20
City of El Segundo,185,1102,1,6,11/26/20
City of Gardena,1641,2677,59,96,11/26/20
City of Glendale,5998,2905,193,93,11/26/20
City of Glendora,1681,3186,80,152,11/26/20
City of Hawaiian Gardens,706,4811,3,20,11/26/20
City of Hawthorne,2766,3115,54,61,11/26/20
City of Hermosa Beach,334,1698,4,20,11/26/20
City of Hidden Hills,24,1270,0,0,11/26/20
City of Huntington Park,3838,6452,66,111,11/26/20
City of Industry,50,11442,2,458,11/26/20
City of Inglewood,3964,3490,94,83,11/26/20
City of Irwindale,92,6306,2,137,11/26/20
City of La Canada Flintridge,242,1169,6,29,11/26/20
City of La Habra Heights,69,1265,1,18,11/26/20
City of La Mirada,1229,2478,28,56,11/26/20
City of La Puente,2122,5214,28,69,11/26/20
City of La Verne,773,2323,13,39,11/26/20
City of Lakewood,1833,2281,15,19,11/26/20
City of Lancaster*,5993,3709,72,45,11/26/20
City of Lawndale,951,2829,13,39,11/26/20
City of Lomita,319,1539,10,48,11/26/20
City of Lynwood*,4459,6189,112,155,11/26/20
City of Malibu,151,1165,3,23,11/26/20
City of Manhattan Beach,511,1419,5,14,11/26/20
City of Maywood,1840,6560,38,135,11/26/20
City of Monrovia,1071,2760,40,103,11/26/20
City of Montebello,3274,5086,54,84,11/26/20
City of Monterey Park,1298,2085,57,92,11/26/20
City of Norwalk,4851,4507,94,87,11/26/20
City of Palmdale,7295,4589,82,52,11/26/20
City of Palos Verdes Estates,138,1021,2,15,11/26/20
City of Paramount,3250,5801,32,57,11/26/20
City of Pico Rivera,3508,5457,87,135,11/26/20
City of Pomona,8031,5150,150,96,11/26/20
City of Rancho Palos Verdes,415,971,12,28,11/26/20
City of Redondo Beach,857,1248,14,20,11/26/20
City of Rolling Hills,14,722,0,0,11/26/20
City of Rolling Hills Estates,64,789,3,37,11/26/20
City of Rosemead,1292,2334,33,60,11/26/20
City of San Dimas*,866,2509,14,41,11/26/20
City of San Fernando,1547,6286,20,81,11/26/20
City of San Gabriel,1002,2447,82,200,11/26/20
City of San Marino,115,866,3,23,11/26/20
City of Santa Clarita,5965,2706,67,30,11/26/20
City of Santa Fe Springs,803,4373,8,44,11/26/20
City of Santa Monica,1446,1564,43,47,11/26/20
City of Sierra Madre,129,1174,4,36,11/26/20
City of Signal Hill,382,3238,4,34,11/26/20
City of South El Monte,1142,5468,16,77,11/26/20
City of South Gate,6036,6149,81,83,11/26/20
City of South Pasadena,398,1528,26,100,11/26/20
City of Temple City,717,1967,44,121,11/26/20
City of Torrance,1970,1320,76,51,11/26/20
City of Vernon,21,10048,0,0,11/26/20
City of Walnut,467,1530,5,16,11/26/20
City of West Covina,4056,3747,73,67,11/26/20
City of West Hollywood,908,2457,8,22,11/26/20
City of Westlake Village,54,646,0,0,11/26/20
City of Whittier,3464,3962,52,59,11/26/20
Los Angeles,157250,3888,3193,79,11/26/20
Los Angeles - Adams-Normandie,373,4548,5,61,11/26/20
Los Angeles - Alsace,522,4194,3,24,11/26/20
Los Angeles - Angeles National Forest,2,5000,0,0,11/26/20
Los Angeles - Angelino Heights,89,3557,1,40,11/26/20
Los Angeles - Arleta,2266,6593,28,81,11/26/20
Los Angeles - Atwater Village,391,2666,8,55,11/26/20
Los Angeles - Baldwin Hills,839,2696,29,93,11/26/20
Los Angeles - Bel Air,124,1471,0,0,11/26/20
Los Angeles - Beverly Crest,201,1605,2,16,11/26/20
Los Angeles - Beverlywood,236,1792,0,0,11/26/20
Los Angeles - Boyle Heights*,5815,6693,82,94,11/26/20
Los Angeles - Brentwood,487,1573,5,16,11/26/20
Los Angeles - Brookside,6,1033,0,0,11/26/20
Los Angeles - Cadillac-Corning,190,2668,1,14,11/26/20
Los Angeles - Canoga Park,2936,4497,67,103,11/26/20
Los Angeles - Carthay,331,2305,17,118,11/26/20
Los Angeles - Central,2791,7158,44,113,11/26/20
Los Angeles - Century City,190,1485,0,0,11/26/20
Los Angeles - Century Palms/Cove,2015,5968,23,68,11/26/20
Los Angeles - Chatsworth,1084,2925,36,97,11/26/20
Los Angeles - Cheviot Hills,135,1472,3,33,11/26/20
Los Angeles - Chinatown,212,2643,4,50,11/26/20
Los Angeles - Cloverdale/Cochran,429,2948,5,34,11/26/20
Los Angeles - Country Club Park,504,3326,37,244,11/26/20
Los Angeles - Crenshaw District,437,3160,5,36,11/26/20
Los Angeles - Crestview,263,2314,22,194,11/26/20
Los Angeles - Del Rey,558,1864,9,30,11/26/20
Los Angeles - Downtown*,1260,4581,17,62,11/26/20
Los Angeles - Eagle Rock,1023,2584,28,71,11/26/20
Los Angeles - East Hollywood,938,3203,45,154,11/26/20
Los Angeles - Echo Park,403,2827,6,42,11/26/20
Los Angeles - El Sereno,1857,4442,38,91,11/26/20
Los Angeles - Elysian Park,141,2468,0,0,11/26/20
Los Angeles - Elysian Valley,372,3657,5,49,11/26/20
Los Angeles - Encino,1066,2360,23,51,11/26/20
Los Angeles - Exposition,95,2856,2,60,11/26/20
Los Angeles - Exposition Park,1885,4197,26,58,11/26/20
Los Angeles - Faircrest Heights,55,1528,2,56,11/26/20
Los Angeles - Figueroa Park Square,431,4942,5,57,11/26/20
